city,creative_sectors,Other_Creative_Sectors,Famous_Landmarks,Lat,Lon
,,,Gaddafi Stadium,31.513405,74.333498
,,,Bradlaugh Hall,31.576081,74.302024
,,,Lahore Fort,31.587896,74.315205
,,,Lahore Museum,31.568434,74.30809
,,,Mubarak Haveli,31.577004,74.315549
,,,NCA,31.568771,74.30722
,,,Pak Tea House,31.567531,74.311871
,,,PIA Plantarium,31.557558,74.3054
,,,PILAC,31.514082,74.329553
,,,Punjab Irrigation Department,31.567738,74.308335
,,,Punjab University,31.569446,74.308892
,,,Summer Palace,31.589445,74.313328
,,,Tollington Market,31.568225,74.309477
