city,creative_sectors,Other_Creative_Sectors,Famous_Landmarks,Lat,Lon
Multan_Punjab,38Crafts,,Institute of Blue Pottery Multan (TEVTA),30.18040632,71.49103307
Multan_Punjab,38Crafts,,Multan Crafts Bazaar,30.19700645,71.47352055
Multan_Punjab,45Other,History of Art,Art Gallery Damdama,30.19793233,71.47105497
Multan_Punjab,38Crafts,,Ustad Alam institute of Blue Pottery,30.12028739,71.49365441
Multan_Punjab,38Crafts,,Manzoor Blue Pottery Display Center,30.16392825,71.44143427
Multan_Punjab,20Crafts,,Dolat Gate,30.19209833,71.47842
Multan_Punjab,20Crafts,,Bohar Gate,30.19386,71.46506167
Multan_Punjab,20Crafts,,Haram Gate,30.19001667,71.46907667
Multan_Punjab,24literature,,Multan Tea House,30.20388833,71.45201667
Multan_Punjab,20Crafts,,Hussain Agahi Bazar,30.195543,71.474088
Multan_Punjab,20Crafts,,Ghanta Ghar Khusa Market,30.19829833,71.46832167
Multan_Punjab,25Festivals,,Multan Arts Council,30.20321833,71.45256667
Multan_Punjab,20Crafts,,Pakistan Handicrafts Shop,30.187177,71.4316
Multan_Punjab,20Crafts,,Mohalla Kotla Tolay Khan,30.20175,71.467176
Multan_Punjab,24literature,,BZU,30.271154,71.501261
